timestep,demand_el_reference_gas_szenario,demand_el_rapeseedoil_scenario,demand_heat_gascooker_reference,demand_heat_gasdeepfryer,demand_heat_gascooker_gasscenario,demand_heat_wws,r_wood_ofen_kitchen,r_wood_ofen_diningarea,demand_heat_wws_without_demand_heat_space_ofen_diningarea,demand_heat_space_ofen_diningarea,pv_G1_south_utilization rate_normalised,pv_G1_south_normalised,pv_G1_east_normalised,pv_G1_north_normalised,pv_G2_north_normalised,pv_G3_north_normalised,pv_G3_west_normalised,wind_bornay_1kW_20m,wind_10kW_20m_normalised
1663,1.21,1.21,0,0,0,10.3188888888889,0,0,10.3188888888889,0,0,0,0,0,0,0,0,0.416433607793995,0.340369373056171
1664,1.21,1.21,0,0,0,9.56217037037037,0,0,9.56217037037037,0,0.0849567595032134,0.177997159090909,0.343763157894737,0.026411714770798,0.0176760964912281,0.0200361842105263,0.0173866228070175,0.322209752483497,0.263356101411595
1665,1.21,1.21,0,0,0,8.9545024691358,0,0,8.9545024691358,0,0.124618162670861,0.26109375,0.316364035087719,0.109668930390492,0.0944758771929825,0.100837719298246,0.0932872807017544,0.122950707469895,0.100492982398872
1666,1.21,1.21,0,0,0,8.23218024691358,0,0,8.23218024691358,0,0.224307269025921,0.469957386363636,0.461929824561404,0.132054329371817,0.0953245614035088,0.10269298245614,0.0937565789473684,0.127815110327164,0.104468871279677
1667,1.21,1.21,0,0,0,7.56718518518518,0,0,7.56718518518518,0,0.282741736359589,0.592386363636364,0.489605263157895,0.163259762308998,0.100304824561404,0.107024122807018,0.097390350877193,0.188875119577103,0.15437588329367
1668,1.21,1.21,0,0,0,6.8333975308642,0,0,6.8333975308642,0,0.389576675011862,0.816221590909091,0.532280701754386,0.130967741935484,0.00906907894736842,0.00936820175438597,0.221907894736842,0.197727233055762,0.16161110220627
1669,1.21,1.21,0,0,0,6.76460493827161,0,0,6.76460493827161,0,0.138442026099722,0.290056818181818,0.279723684210526,0.248853989813243,0.212265350877193,0.227127192982456,0.21984649122807,0.349496922911051,0.285659097416419
1670,1.21,1.21,0,0,0,6.86779382716049,0,0,6.86779382716049,0,0.100116229158403,0.209758522727273,0.214425438596491,0.211595925297114,0.184664473684211,0.200929824561404,0.185896929824561,0.535547707285407,0.437726528211858
1671,1.21,1.21,0,0,0,6.85632839506173,0,0,6.85632839506173,0,0.111736681300172,0.234105113636364,0.18109649122807,0.184779286926995,0.160214912280702,0.221622807017544,0.237105263157895,0.559171479621242,0.457035268977919
1672,1.21,1.21,0,0,0,7.35507469135802,0,0,7.35507469135802,0,0.00486187785292031,0.0101863636363636,0.0123486842105263,0.0200475382003396,0.0146671052631579,0.0171719298245614,0.0144857456140351,0.472960488034452,0.386571260771688
1673,1.21,1.21,0,0,0,7.80222654320988,0,0,7.80222654320988,0,0,0,0,0.00278030560271647,0.00210447368421053,0.00241425438596491,0.00216135964912281,0.410554632507146,0.335564229822901
1674,1.21,1.21,0,0,0,8.18631851851852,0,0,8.18631851851852,0,0,0,0,0,0,0,0,0.325540059623899,0.266078106869963
1675,1.21,1.21,0,0,0,8.35256728395062,0,0,8.35256728395062,0,0,0,0,0,0,0,0,0.315617432114135,0.257967910091035
1676,1.21,1.21,0,0,0,8.51881604938272,0,0,8.51881604938272,0,0,0,0,0,0,0,0,0.244771415170726,0.200062366640076
1677,1.21,1.21,0,0,0,8.68506481481482,0,0,8.68506481481482,0,0,0,0,0,0,0,0,0.23860675685185,0.195023722189123
1678,1.21,1.21,0,0,0,8.85131358024691,0,0,8.85131358024691,0,0,0,0,0,0,0,0,0.20377969373952,0.166558042630437
